"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"37","TC0100007943.hg.1","RLF","6018","RLF zinc finger",-1.07766784356256,6.62858031685647,-5.91295116791877,9.31733080834845e-06,7.49931504086583e-05,3.43505629550588
"38","TC0100008025.hg.1","YBX1","4904","Y-box binding protein 1",1.19945340089722,9.06331138785236,6.05361726532519,6.86067914745332e-06,6.09297832411052e-05,3.74150341510332
"39","TC0100008073.hg.1","KDM4A","9682","lysine demethylase 4A",0.727834198149098,4.9057712493345,2.88956694797775,0.00915546027755843,0.0169485300173118,-3.35191259118989
"40","TC0100008079.hg.1","IPO13","9670","importin 13",0.729331144866708,4.90474604798543,3.60224899415252,0.00181256501553545,0.00436603251917299,-1.79249661928346
"41","TC0100008081.hg.1","ATP6V0B","533","ATPase H+ transporting V0 subunit b",-0.720535886657973,7.82762567486716,-3.72050508078149,0.00137887787187979,0.00350537808170885,-1.52565639509946
"42","TC0100008094.hg.1","RNF220","55182","ring finger protein 220",0.722497186362872,7.10477223638847,3.86190211210189,0.000993503857703399,0.00270636074445148,-1.2048062213778
"43","TC0100008105.hg.1","PLK3","1263","polo like kinase 3",-2.21338168684165,5.6853370474597,-9.0592383451007,1.84353098047123e-08,1.03867233289964e-06,9.66084232485207
"44","TC0100008124.hg.1","MMACHC","25974","metabolism of cobalamin associated C",0.849860355228367,5.33905013141212,3.60043529473405,0.00182017217760364,0.00437978930235876,-1.79657674724418
"45","TC0100008132.hg.1","TMEM69","51249","transmembrane protein 69",1.1157303392276,5.3432233799708,3.79304084988103,0.00116556180363661,0.00308236721969155,-1.36127735254199
"46","TC0100008152.hg.1","UQCRH","7388","ubiquinol-cytochrome c reductase hinge protein",-2.1983033671854,4.44575654376047,-10.7206256675427,1.14096414107146e-09,2.51012111035722e-07,12.4148953405159
"47","TC0100008289.hg.1","OSBPL9","114883","oxysterol binding protein like 9",-1.06316805311189,5.58903947948307,-3.08197635752483,0.00595252221143321,0.0117675021894828,-2.94156242634741
"48","TC0100008326.hg.1","SHISAL2A","348378","shisa like 2A",1.90284733745452,6.90929326212588,9.13118491986752,1.62326141911323e-08,1.00929908077778e-06,9.78739478111298
"49","TC0100008341.hg.1","PODN","127435","podocan",0.521933023997488,4.74937405869971,2.42393070265741,0.0251113356977123,0.0402687854645716,-4.29652522826493
"50","TC0100008517.hg.1","NFIA","4774","nuclear factor I A",1.53040247317277,5.26307880118886,7.38895708194687,4.26423027346451e-07,8.79497493902056e-06,6.52452382117931
"51","TC0100008536.hg.1","PATJ","10207","PATJ crumbs cell polarity complex component",1.35961087860263,4.26063860070115,5.54115019403738,2.11601036708254e-05,0.000134840936495467,2.61447208623974
"52","TC0100008584.hg.1","ALG6","29929","ALG6 alpha-1,3-glucosyltransferase",0.925789299529165,3.14384498659933,2.40587112895029,0.0260831417669518,0.0416105369348472,-4.33149122601921
"53","TC0100008620.hg.1","DNAJC6","9829","DnaJ heat shock protein family (Hsp40) member C6",-1.08621388492953,4.75546443261537,-2.82943227167811,0.010459402106577,0.0189128914803859,-3.4780512240582
"54","TC0100008625.hg.1","PDE4B","5142","phosphodiesterase 4B",-1.71975650240976,6.7074764221562,-6.47984500599048,2.75535052717253e-06,3.16659687451171e-05,4.65535274680743
"55","TC0100008631.hg.1","SGIP1","84251","SH3GL interacting endocytic adaptor 1",1.31546417222053,3.97725399338512,4.86194760655946,9.82571203738192e-05,0.000442013530795565,1.08268521587645
"56","TC0100008641.hg.1","MIER1","57708","MIER1 transcriptional regulator",-1.20007606161232,6.84346069010104,-5.08241620360672,5.94155409616475e-05,0.000300986621976767,1.5836989295078
"57","TC0100008653.hg.1","IL12RB2","3595","interleukin 12 receptor subunit beta 2",1.27879123393372,4.59828479036183,4.7714600277939,0.00012091965109652,0.000518227076127943,0.876268512049737
"58","TC0100008664.hg.1","GADD45A","1647","growth arrest and DNA damage inducible alpha",-1.23331320378703,5.69107082852252,-7.00084065792089,9.33039437233555e-07,1.47223849114286e-05,5.7403206037296
"59","TC0100008692.hg.1","SRSF11","9295","serine and arginine rich splicing factor 11",0.994767441630688,7.00809886467001,4.52790827984517,0.000211942257975261,0.000790293165331483,0.319105567745805
"60","TC0100008797.hg.1","AK5","26289","adenylate kinase 5",1.82956153576544,4.45255480919865,6.91695329944608,1.108047990066e-06,1.662071985099e-05,5.56809624257378
"61","TC0100008807.hg.1","NEXN","91624","nexilin F-actin binding protein",-1.47703737959544,4.20791070655153,-5.71727075291696,1.43190703233963e-05,0.000100233492263774,3.00501930262635
"62","TC0100008884.hg.1","RPF1","80135","ribosome production factor 1 homolog",-0.820039104612922,6.65164167428221,-3.39480934128897,0.0029217595039568,0.00643706671830254,-2.25626274389068
"63","TC0100008885.hg.1","SPATA1","100505741","spermatogenesis associated 1",-0.6092731452469,2.6235539196971,-3.01736869452555,0.00688325585975428,0.0132613186288844,-3.08042869046475
"64","TC0100008927.hg.1","SH3GLB1","51100","SH3 domain containing GRB2 like, endophilin B1",-1.30850781336376,7.38379524259472,-5.39831458123136,2.91170272073853e-05,0.000173351373322319,2.29548372420621
"65","TC0100008996.hg.1","ZNF326","284695","zinc finger protein 326",-0.702528588205217,4.8536432935721,-2.71541086267769,0.013435072407552,0.0235292018661449,-3.71412867536329
"66","TC0100009204.hg.1","TRMT13","54482","tRNA methyltransferase 13 homolog",1.01954069552776,4.54934690657571,3.43943466980455,0.00263735188789572,0.00592058587078632,-2.15702858451747
"67","TC0100009215.hg.1","CDC14A","8556","cell division cycle 14A",1.06435629748749,7.91044272422607,4.21524297080687,0.000437348213705066,0.00139927198567687,-0.397551561743001
"68","TC0100009241.hg.1","S1PR1","1901","sphingosine-1-phosphate receptor 1",2.12079575721294,8.49763414162494,8.92723047299948,2.33223204606162e-08,1.17903829413991e-06,9.42685332522989
"69","TC0100009305.hg.1","PRMT6","55170","protein arginine methyltransferase 6",0.826896092335183,3.4129583581607,4.41020535208993,0.000278277702615486,0.000972498476613878,0.0493437472306866
"70","TC0100009331.hg.1","STXBP3","6814","syntaxin binding protein 3",-1.0076645497337,6.79929122380068,-4.32903587157531,0.000335867503714503,0.00113346082334624,-0.136742283727523
"71","TC0100009339.hg.1","TMEM167B","56900","transmembrane protein 167B",-1.15031121687801,6.89446978328128,-6.36893513565632,3.4857613209808e-06,3.70211892021409e-05,4.4197574089719
"72","TC0100009344.hg.1","SARS1","6301","seryl-tRNA synthetase 1",0.705839655723145,6.2417549584657,3.55521673319926,0.00202036652128143,0.00475743798589206,-1.89816849425874
"73","TC0100009364.hg.1","CSF1","1435","colony stimulating factor 1",-1.04206685055611,6.48371353372575,-3.09363468105335,0.00579809715757541,0.0115263016132504,-2.91639609795638
"74","TC0100009414.hg.1","ATP5PB","515","ATP synthase peripheral stalk-membrane subunit b",-0.544969631291197,7.12181893546811,-2.54912855817206,0.0192491443686369,0.0320587768504334,-4.05038152449194
"75","TC0100009418.hg.1","RAP1A","5906","RAP1A, member of RAS oncogene family",-0.898001331510438,7.75658587976885,-3.99783555609716,0.000724616116726599,0.00211479877402204,-0.894952282998906
"76","TC0100009428.hg.1","DDX20","11218","DEAD-box helicase 20",0.855038458254154,4.11194562748659,2.78110283057606,0.0116344571985576,0.0207462436736574,-3.57862668046232
"77","TC0100009444.hg.1","CAPZA1","829","capping actin protein of muscle Z-line subunit alpha 1",-1.31246335175814,7.75656528820275,-7.22490221332145,5.92250350406303e-07,1.08547715219447e-05,6.19558943989157
"78","TC0100009468.hg.1","LRIG2","9860","leucine rich repeats and immunoglobulin like domains 2",0.961978778060327,3.9612051283044,4.01900003197184,0.000689857092401185,0.00202486643385863,-0.846612797919025
"79","TC0100009479.hg.1","DCLRE1B","64858","DNA cross-link repair 1B",0.598566267402437,4.04190857362431,2.61674918067053,0.0166444486258983,0.0282606955720876,-3.91485980869336
"80","TC0100009555.hg.1","CD2","914","CD2 molecule",1.81332948878873,7.19444385460924,4.25902588373894,0.000395089501919719,0.00129271494254186,-0.297222070831024
"81","TC0100009560.hg.1","CD101","9398","CD101 molecule",0.515503924638948,6.48026768270578,2.40477425104193,0.0261432794155922,0.0416776918219586,-4.33361039878234
"82","TC0100009572.hg.1","TENT5C","54855","terminal nucleotidyltransferase 5C",1.50330516682081,8.05211063207777,4.44606034161537,0.000256110004181988,0.000912280816746941,0.131536106473562
"83","TC0100009745.hg.1","POLR3C","10623","RNA polymerase III subunit C",0.616265591776988,5.57037250684867,2.3794497053219,0.0275681029433035,0.0436778585727236,-4.38239121948621
"84","TC0100009903.hg.1","RPRD2","23248","regulation of nuclear pre-mRNA domain containing 2",1.03251656272414,6.56621649648817,3.57164438659918,0.00194524062074532,0.00461345568164444,-1.86129075969444
"85","TC0100009939.hg.1","GABPB2","126626","GA binding protein transcription factor subunit beta 2",0.749606800305086,6.00116185157214,2.88805350295681,0.00918627354197104,0.0169898253658552,-3.35510030296465
"86","TC0100009949.hg.1","PSMD4","5710","proteasome 26S subunit ubiquitin receptor, non-ATPase 4",-1.62428320396035,6.72947620306171,-7.37764845462293,4.36138265321267e-07,8.91574683975334e-06,6.50196984205594
"87","TC0100009959.hg.1","TUFT1","7286","tuftelin 1",-0.691078052362592,4.00063069381214,-2.40983640137742,0.0258668132247522,0.0412796812084128,-4.32382594638526
"88","TC0100009969.hg.1","RIIAD1","284485","regulatory subunit of type II PKA R-subunit domain containing 1",-0.642365722496657,4.64564929242724,-3.41764031357185,0.00277267966978825,0.00616019065899934,-2.20553285891902
"89","TC0100010032.hg.1","S100A9","6280","S100 calcium binding protein A9",-2.77558561606458,10.1986697985485,-8.903535637281,2.43333675570668e-08,1.1959591288686e-06,9.38460688797542
"90","TC0100010060.hg.1","RPS27","6232","ribosomal protein S27",-1.07921480249964,8.68748815392921,-2.3420316748862,0.0298057248573249,0.046758047144598,-4.45394543086643
"91","TC0100010074.hg.1","AQP10","89872","aquaporin 10",-1.09419785473639,6.05219828601038,-3.51533160233678,0.00221488657416804,0.00511638798632817,-1.98755609736443
"92","TC0100010075.hg.1","ATP8B2","57198","ATPase phospholipid transporting 8B2",0.728156370652373,6.35330356639485,3.19850940779021,0.00457305670945699,0.0094235156100318,-2.68861352368769
"93","TC0100010112.hg.1","SLC50A1","55974","solute carrier family 50 member 1",-1.05271982274674,4.78739151418133,-4.36413671566875,0.000309621054114272,0.00106116414689016,-0.0562712849081528
"94","TC0100010152.hg.1","LMNA","4000","lamin A/C",-1.14136500370275,6.34828931213255,-5.36128834521071,3.16398216527042e-05,0.000184565626307441,2.212486450168
"95","TC0100010185.hg.1","NAXE","128240","NAD(P)HX epimerase",0.606320268771691,6.10268843034785,3.15303934921185,0.00506968679391399,0.0102953639507176,-2.7876723107264
"96","TC0100010193.hg.1","PRCC","5546","proline rich mitotic checkpoint control factor",0.801073495293723,7.17250563147094,4.24181716310025,0.00041118697010119,0.00132937984735304,-0.336660002808006
"97","TC0100010241.hg.1","MNDA","4332","myeloid cell nuclear differentiation antigen",-1.1578056768645,8.66746795214768,-3.99219231739373,0.000734175982129076,0.00213058607879167,-0.907837547814259
"98","TC0100010243.hg.1","PYHIN1","149628","pyrin and HIN domain family member 1",1.99714272768054,6.92402209285598,5.12632535490699,5.3777654268311e-05,0.000277600852200667,1.68310281622525
"99","TC0100010252.hg.1","FCER1A","2205","Fc fragment of IgE receptor Ia",1.5293564620852,4.26141199097728,3.56054113607123,0.00199570885374984,0.00471138216879115,-1.88621979735908
"100","TC0100010268.hg.1","FCRL6","343413","Fc receptor like 6",0.690924947675646,7.12542870507097,3.17718059254293,0.00479981381885529,0.00980766910354332,-2.73513485850105
"101","TC0100010310.hg.1","SLAMF7","57823","SLAM family member 7",1.05364212105775,6.71103966159666,4.63500275564168,0.000165525658339141,0.000659729938070933,0.564330687245884
"102","TC0100010314.hg.1","LY9","4063","lymphocyte antigen 9",1.74133135722544,6.24485710425971,6.00534006976397,7.61849073513982e-06,6.505993936478e-05,3.63659051151144
"103","TC0100010335.hg.1","USP21","27005","ubiquitin specific peptidase 21",1.23396853160291,6.22925596021695,4.99144190306621,7.30868402051532e-05,0.000355059097526612,1.37732469590976
"104","TC0100010341.hg.1","FCER1G","2207","Fc fragment of IgE receptor Ig",-1.79064695443045,9.22264055381223,-7.09888846623437,7.64116966026201e-07,1.29787514082392e-05,5.94039472614113
"105","TC0100010454.hg.1","MGST3","4259","microsomal glutathione S-transferase 3",0.664658218925161,5.84920565245843,2.55710028686066,0.0189232227466072,0.0315842807403631,-4.03449571608773
"106","TC0100010532.hg.1","XCL1","6375","X-C motif chemokine ligand 1",1.65430659675041,5.0725310600225,6.36986261081528,3.47889079315263e-06,3.70211892021409e-05,4.42173410010321
"107","TC0100010546.hg.1","BLZF1","8548","basic leucine zipper nuclear factor 1",-1.18115169653757,5.88716918855219,-3.67398343630288,0.00153563131956918,0.00380000894290821,-1.63081303584583
"108","TC0100010609.hg.1","DNM3","26052","dynamin 3",-1.84107808710431,4.36248627930613,-5.18134615567692,4.7473701757839e-05,0.00025318622653008,1.80746213461397
"109","TC0100010623.hg.1","SUCO","51430","SUN domain containing ossification factor",-0.716046906033211,4.67853273200512,-2.72709962250162,0.0130963847884068,0.0230320889693336,-3.69012311614696
"110","TC0100010625.hg.1","FASLG","356","Fas ligand",0.509817613169118,4.95114148504225,2.42794118559126,0.0249001548330133,0.0400126765346562,-4.28874130762931
"111","TC0100010798.hg.1","QSOX1","5768","quiescin sulfhydryl oxidase 1",-1.34861305773849,7.13273904251608,-6.25113382469954,4.48249121253566e-06,4.48249121253566e-05,4.16780680349992
"112","TC0100010824.hg.1","CACNA1E","777","calcium voltage-gated channel subunit alpha1 E",-0.79926788236504,4.49927300028317,-2.6681794961439,0.0148903129668303,0.0256595471491071,-3.81065227596147
"113","TC0100010855.hg.1","NPL","80896","N-acetylneuraminate pyruvate lyase",-0.596618684917981,7.30409549858921,-2.57969137107042,0.0180275916926419,0.0303475780168908,-3.98934389450834
"114","TC0100011001.hg.1","RGS18","64407","regulator of G protein signaling 18",-2.21393330993045,7.67001139773887,-7.34702491416037,4.63612840164944e-07,9.23229017914674e-06,6.4408047107254
"115","TC0100011012.hg.1","RGS1","5996","regulator of G protein signaling 1",-2.27455148603443,3.53510854762229,-7.74752860816597,2.10622643994217e-07,5.40598119585157e-06,7.23040666530533
"116","TC0100011022.hg.1","RGS2","5997","regulator of G protein signaling 2",-2.32426762846661,8.92637479603345,-5.89002147275918,9.79620952275164e-06,7.76903368833888e-05,3.38488590530625
"117","TC0100011192.hg.1","IPO9","55705","importin 9",0.954039972563732,7.05558667951446,4.5401268873367,0.000206042382665963,0.000772658934997363,0.347097303727519
"118","TC0100011197.hg.1","SHISA4","149345","shisa family member 4",1.50328974757674,5.22917834106139,5.21958787178172,4.35400718553395e-05,0.000237491301029125,1.89376039261223
"119","TC0100011200.hg.1","TIMM17A","10440","translocase of inner mitochondrial membrane 17A",-0.875051173368184,4.49134866803568,-2.43578239974852,0.0244920335639546,0.0394536942348222,-4.27350250836906
"120","TC0100011253.hg.1","BTG2","7832","BTG anti-proliferation factor 2",-1.24160496402603,8.20508385921922,-6.23319002990313,4.65826359632586e-06,4.59854226816784e-05,4.12927619006654
"121","TC0100011267.hg.1","ATP2B4","493","ATPase plasma membrane Ca2+ transporting 4",0.789457535071583,8.09240489219828,2.48972701144539,0.0218491672066961,0.0357447423848923,-4.16796543800349
"122","TC0100011269.hg.1","LINC00260","84719","long intergenic non-protein coding RNA 260",1.55995219384988,5.79601333555126,7.13508503821687,7.10035224909706e-07,1.23321907484317e-05,6.01392222222856
"123","TC0100011270.hg.1","LAX1","54900","lymphocyte transmembrane adaptor 1",1.85042811865446,5.7530826203807,7.39716690964634,4.19510364619868e-07,8.75940627815256e-06,6.5408863793198
"124","TC0100011276.hg.1","SNRPE","6635","small nuclear ribonucleoprotein polypeptide E",-0.975188873394051,4.77282107109303,-4.82290069862573,0.000107455082156672,0.000475519616440444,0.993661435833448
"125","TC0100011400.hg.1","PFKFB2","5208","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",-0.84110472107469,4.01993723768666,-3.591193316937,0.00185942831483418,0.00445385088522574,-1.81736139980626
"126","TC0100011413.hg.1","CR2","1380","complement C3d receptor 2",0.886100601594993,3.18891009723551,3.5068699923757,0.00225846913506404,0.00520405356807774,-2.00649162485197
"127","TC0100011414.hg.1","CR1","1378","complement C3b/C4b receptor 1 (Knops blood group)",-1.57648876170634,8.6615873330245,-5.82461242171286,1.13057384377941e-05,8.53472411480535e-05,3.2414438236707
"128","TC0100011417.hg.1","CR1L","1379","complement C3b/C4b receptor 1 like",-1.67918043626018,7.688070635757,-6.09602822466032,6.25889261157596e-06,5.64767262997674e-05,3.83343927666903
"129","TC0100011453.hg.1","G0S2","50486","G0/G1 switch 2",-4.59869780235085,6.85539415128934,-12.168255603128,1.2862394732691e-10,6.60269596278136e-08,14.5506784786762
"130","TC0100011458.hg.1","TRAF3IP3","80342","TRAF3 interacting protein 3",0.909348909051087,7.84584119781644,4.12603844601168,0.00053800283561025,0.00166816986612037,-0.60183621052841
"131","TC0100011461.hg.1","UTP25","27042","UTP25 small subunit processor component",1.3139279819117,5.67494926376727,4.72735627845712,0.000133818504395863,0.000557979684394303,0.775526168597671
"132","TC0100011487.hg.1","TRAF5","7188","TNF receptor associated factor 5",2.00971762986199,5.81241645885024,7.29717864069082,5.1222199426007e-07,9.82242717625837e-06,6.34096652692255
"133","TC0100011520.hg.1","PPP2R5A","5525","protein phosphatase 2 regulatory subunit B'alpha",-0.769099850201271,7.78793748206678,-3.01199988447588,0.0069666419568074,0.0133996194173398,-3.09192126046502
"134","TC0100011533.hg.1","ATF3","467","activating transcription factor 3",-1.22756171138395,3.88550530632078,-4.65595709008322,0.000157722067183041,0.000635842888643672,0.612275081090249
"135","TC0100011665.hg.1","MTARC1","64757","mitochondrial amidoxime reducing component 1",-1.17393091786099,6.51099852609947,-5.39935536450712,2.90491569274109e-05,0.000173170458070501,2.29781494201222
"136","TC0100011855.hg.1","GUK1","2987","guanylate kinase 1",1.32861876931807,8.97393150146263,5.25181172055612,4.04839682225792e-05,0.00022480280431288,1.96638824424998
"137","TC0100011940.hg.1","COG2","22796","component of oligomeric golgi complex 2",0.980591457554476,4.86384379149182,3.85549635554166,0.00100838109049914,0.00273078583710787,-1.21937744856128
"138","TC0100012089.hg.1","GPR137B","7107","G protein-coupled receptor 137B",0.637143620165246,5.31443385372337,2.634772172857,0.0160085917282863,0.0273115560504737,-3.87845069649799
"139","TC0100012097.hg.1","LGALS8","3964","galectin 8",-1.08822367504339,6.83864321064532,-3.53677958980826,0.00210809558797895,0.00492884697189411,-1.9395151231265
"140","TC0100012101.hg.1","MTR","4548","5-methyltetrahydrofolate-homocysteine methyltransferase",1.33365679129014,4.80931538461597,4.81322748411947,0.000109865654959423,0.00048340888182146,0.971595617821574
"141","TC0100012167.hg.1","KMO","8564","kynurenine 3-monooxygenase",1.04310654839379,3.69655983016663,4.75129569460904,0.000126653060584415,0.000535349624794143,0.830219003186959
"142","TC0100012242.hg.1","EFCAB2","84288","EF-hand calcium binding domain 2",-1.631259483352,4.30909355814597,-5.24192912689026,4.139726188412e-05,0.000228501015417723,1.944123236184
"143","TC0100012272.hg.1","CNST","163882","consortin, connexin sorting protein",-0.790253176254307,6.09918008460059,-2.52796715811722,0.0201401174751976,0.033290641408019,-4.09243087662561
"144","TC0100012278.hg.1","SCCPDH","51097","saccharopine dehydrogenase (putative)",-0.747839057905219,4.573627923515,-3.00339245103139,0.00710236990063172,0.0136153315107546,-3.1103310159697
"145","TC0100012315.hg.1","NLRP3","114548","NLR family pyrin domain containing 3",-0.768796887295688,6.38479224787096,-3.09866276793767,0.00573270149722306,0.0114061502657926,-2.90553226123346
"146","TC0100012335.hg.1","OR2AK2","391191","olfactory receptor family 2 subfamily AK member 2",0.872177221359989,3.16116846641587,3.31351749075647,0.00351921527619249,0.00754713515433295,-2.43617581072045
"147","TC0100012496.hg.1","NADK","65220","NAD kinase",-0.819451687439365,8.47714267832396,-3.79545359029653,0.00115906013107844,0.00306868642153718,-1.35580151071858
"148","TC0100012523.hg.1","MORN1","79906","MORN repeat containing 1",0.720106553681562,5.9516516009993,3.32883423004876,0.00339816578535367,0.0073123083038351,-2.40236594912206
"149","TC0100012602.hg.1","CEP104","9731","centrosomal protein 104",0.784347473699367,6.23197248907023,2.63627799540882,0.0159565191606514,0.027242837591356,-3.87540334759655
"150","TC0100012670.hg.1","RPL22","6146","ribosomal protein L22",-1.30553009894624,8.24604707957004,-5.85938489913519,1.04757036506895e-05,8.17199283561041e-05,3.31775971571992
"151","TC0100012687.hg.1","NOL9","79707","nucleolar protein 9",1.24381217361294,5.8487558390755,5.07296195405954,6.07061110058102e-05,0.000305181972629862,1.56227804027901
"152","TC0100012732.hg.1","UTS2","10911","urotensin 2",1.20475496880609,2.47563685626329,3.11378697039174,0.00554028035354057,0.0110901625794443,-2.87281882717406
